id,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
6bZf2VcN25Hu7jcLNkc5NC,0.8,https://api.spotify.com/v1/audio-analysis/6bZf2VcN25Hu7jcLNkc5NC,0.162,191267,0.129,0.00247,1,0.106,-19.644,1,0.0356,81.561,4,https://api.spotify.com/v1/tracks/6bZf2VcN25Hu7jcLNkc5NC,audio_features,spotify:track:6bZf2VcN25Hu7jcLNkc5NC,0.0832
3qQVUOHJdgIFWJd0jrG9GE,0.109,https://api.spotify.com/v1/audio-analysis/3qQVUOHJdgIFWJd0jrG9GE,0.739,482720,0.882,0.684,11,0.0185,-11.946,0,0.0539,98.424,4,https://api.spotify.com/v1/tracks/3qQVUOHJdgIFWJd0jrG9GE,audio_features,spotify:track:3qQVUOHJdgIFWJd0jrG9GE,0.941
6dZKWYSx5YBIme4SfpIHJ0,0.854,https://api.spotify.com/v1/audio-analysis/6dZKWYSx5YBIme4SfpIHJ0,0.645,211587,0.398,0.306,8,0.0731,-12.208,1,0.11,82.768,4,https://api.spotify.com/v1/tracks/6dZKWYSx5YBIme4SfpIHJ0,audio_features,spotify:track:6dZKWYSx5YBIme4SfpIHJ0,0.705
54zMkQWwYLKTAx2qIkl45X,0.912,https://api.spotify.com/v1/audio-analysis/54zMkQWwYLKTAx2qIkl45X,0.21,455933,0.308,0.906,5,0.137,-12.186,1,0.0374,129.101,4,https://api.spotify.com/v1/tracks/54zMkQWwYLKTAx2qIkl45X,audio_features,spotify:track:54zMkQWwYLKTAx2qIkl45X,0.0895
0U070HY5rBmCyh4SIWHrgN,0.976,https://api.spotify.com/v1/audio-analysis/0U070HY5rBmCyh4SIWHrgN,0.448,453187,0.0248,0.936,0,0.116,-27.715,1,0.0444,112.289,4,https://api.spotify.com/v1/tracks/0U070HY5rBmCyh4SIWHrgN,audio_features,spotify:track:0U070HY5rBmCyh4SIWHrgN,0.064
7JtcCde09fsajDNHmPFrX7,0.951,https://api.spotify.com/v1/audio-analysis/7JtcCde09fsajDNHmPFrX7,0.637,360547,0.247,0.799,7,0.0807,-16.553,0,0.0393,103.006,4,https://api.spotify.com/v1/tracks/7JtcCde09fsajDNHmPFrX7,audio_features,spotify:track:7JtcCde09fsajDNHmPFrX7,0.584
56IF1gMvIEOQeSCWoMT7hx,0.645,https://api.spotify.com/v1/audio-analysis/56IF1gMvIEOQeSCWoMT7hx,0.43,380600,0.174,0.00348,5,0.245,-16.976,0,0.1,80.926,4,https://api.spotify.com/v1/tracks/56IF1gMvIEOQeSCWoMT7hx,audio_features,spotify:track:56IF1gMvIEOQeSCWoMT7hx,0.291
3kOW7LYkOXJ9qE05TlKVc3,0.517,https://api.spotify.com/v1/audio-analysis/3kOW7LYkOXJ9qE05TlKVc3,0.672,157000,0.648,0.893,7,0.274,-7.934,0,0.027,107.498,4,https://api.spotify.com/v1/tracks/3kOW7LYkOXJ9qE05TlKVc3,audio_features,spotify:track:3kOW7LYkOXJ9qE05TlKVc3,0.921
7MrXwqdwwU57JqIOGtTbRe,0.282,https://api.spotify.com/v1/audio-analysis/7MrXwqdwwU57JqIOGtTbRe,0.641,399000,0.471,0.139,6,0.0854,-11.82,0,0.0331,101.384,4,https://api.spotify.com/v1/tracks/7MrXwqdwwU57JqIOGtTbRe,audio_features,spotify:track:7MrXwqdwwU57JqIOGtTbRe,0.578
4LInRUJ6XN1TVnoRVAFcdB,0.15,https://api.spotify.com/v1/audio-analysis/4LInRUJ6XN1TVnoRVAFcdB,0.629,265893,0.156,0.0015,1,0.193,-18.527,1,0.0435,62.515,4,https://api.spotify.com/v1/tracks/4LInRUJ6XN1TVnoRVAFcdB,audio_features,spotify:track:4LInRUJ6XN1TVnoRVAFcdB,0.107
